,2021 National Employment Matrix title,2021 National Employment Matrix code,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
0,"Total, all occupations",00-0000,8.0,23.6,20.2,9.6,23.7,10.6,4.4
1,Chief executives(1),11-1011,1.5,8.3,14.2,5.1,40.5,23.7,6.7
2,General and operations managers,11-1021,2.6,17.0,24.8,9.8,33.0,11.1,1.6
3,Legislators(1),11-1031,1.5,8.3,14.2,5.1,40.5,23.7,6.7
4,Advertising and promotions managers,11-2011,0.8,3.9,10.8,6.0,63.6,12.8,2.1
5,Marketing managers,11-2021,0.7,3.8,9.3,5.0,55.8,23.5,2.0
6,Sales managers,11-2022,1.3,10.8,19.6,9.0,46.2,11.9,1.2
7,Public relations managers(1),11-2032,0.2,3.0,5.2,4.3,54.6,28.7,3.9
8,Fundraising managers(1),11-2033,0.2,3.0,5.2,4.3,54.6,28.7,3.9
9,Administrative services managers,11-3012,1.0,13.7,20.0,12.4,34.4,16.3,2.1
10,Facilities managers,11-3013,3.1,20.2,25.7,11.8,30.2,7.8,1.2
11,Computer and information systems managers,11-3021,0.4,4.1,13.1,7.7,45.8,25.9,2.9
12,Financial managers,11-3031,1.0,10.1,17.5,7.3,42.1,19.6,2.3
13,Industrial production managers,11-3051,4.1,20.4,20.3,8.9,32.5,12.5,1.3
14,Purchasing managers,11-3061,1.3,11.4,16.9,8.2,40.7,18.7,2.7
15,"Transportation, storage, and distribution managers",11-3071,5.9,29.4,25.6,9.9,22.1,6.5,0.6
16,Compensation and benefits managers,11-3111,0.6,8.5,15.0,5.6,49.3,18.8,2.3
17,Human resources managers,11-3121,2.1,9.9,16.0,7.6,40.7,20.9,2.8
18,Training and development managers,11-3131,1.0,7.2,15.3,7.2,39.8,25.3,4.3
19,"Farmers, ranchers, and other agricultural managers",11-9013,10.8,32.5,19.6,11.3,21.3,3.6,1.0
20,Construction managers,11-9021,6.6,26.6,22.9,9.1,27.9,5.9,1.0
