"Table 5.4 Education and training assignments by detailed occupation, 2021",,,,
2021 National Employment Matrix title,2021 National Employment Matrix code,Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Chief executives,11-1011,Bachelor's degree,5 years or more,None
General and operations managers,11-1021,Bachelor's degree,5 years or more,None
Legislators,11-1031,Bachelor's degree,Less than 5 years,None
Advertising and promotions managers,11-2011,Bachelor's degree,Less than 5 years,None
Marketing managers,11-2021,Bachelor's degree,5 years or more,None
Sales managers,11-2022,Bachelor's degree,Less than 5 years,None
Public relations managers,11-2032,Bachelor's degree,5 years or more,None
Fundraising managers,11-2033,Bachelor's degree,5 years or more,None
Administrative services managers,11-3012,Bachelor's degree,Less than 5 years,None
Facilities managers,11-3013,Bachelor's degree,Less than 5 years,None
Computer and information systems managers,11-3021,Bachelor's degree,5 years or more,None
Financial managers,11-3031,Bachelor's degree,5 years or more,None
Industrial production managers,11-3051,Bachelor's degree,5 years or more,None
Purchasing managers,11-3061,Bachelor's degree,5 years or more,None
"Transportation, storage, and distribution managers",11-3071,High school diploma or equivalent,5 years or more,None
Compensation and benefits managers,11-3111,Bachelor's degree,5 years or more,None
Human resources managers,11-3121,Bachelor's degree,5 years or more,None
Training and development managers,11-3131,Bachelor's degree,5 years or more,None
"Farmers, ranchers, and other agricultural managers",11-9013,High school diploma or equivalent,5 years or more,None
Construction managers,11-9021,Bachelor's degree,None,Moderate-term on-the-job training
"Education and childcare administrators, preschool and daycare",11-9031,Bachelor's degree,Less than 5 years,None
"Education administrators, kindergarten through secondary",11-9032,Master's degree,5 years or more,None
"Education administrators, postsecondary",11-9033,Master's degree,Less than 5 years,None
"Education administrators, all other",11-9039,Bachelor's degree,Less than 5 years,None
Architectural and engineering managers,11-9041,Bachelor's degree,5 years or more,None
Food service managers,11-9051,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
Gambling managers,11-9071,High school diploma or equivalent,Less than 5 years,None
"Entertainment and recreation managers, except gambling",11-9072,Bachelor's degree,Less than 5 years,None
Lodging managers,11-9081,High school diploma or equivalent,Less than 5 years,None
Medical and health services managers,11-9111,Bachelor's degree,Less than 5 years,None
Natural sciences managers,11-9121,Bachelor's degree,5 years or more,None
Postmasters and mail superintendents,11-9131,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Property, real estate, and community association managers",11-9141,High school diploma or equivalent,Less than 5 years,None
Social and community service managers,11-9151,Bachelor's degree,Less than 5 years,None
Emergency management directors,11-9161,Bachelor's degree,5 years or more,None
Funeral home managers,11-9171,Associate's degree,Less than 5 years,None
"Personal service managers, all other",11-9179,High school diploma or equivalent,Less than 5 years,None
"Managers, all other",11-9199,Bachelor's degree,Less than 5 years,None
"Agents and business managers of artists, performers, and athletes",13-1011,Bachelor's degree,Less than 5 years,None
Buyers and purchasing agents,13-1020,Bachelor's degree,None,Moderate-term on-the-job training
"Claims adjusters, examiners, and investigators",13-1031,High school diploma or equivalent,None,Long-term on-the-job training
"Insurance appraisers, auto damage",13-1032,Postsecondary nondegree award,None,Moderate-term on-the-job training
Compliance officers,13-1041,Bachelor's degree,None,Moderate-term on-the-job training
Cost estimators,13-1051,Bachelor's degree,None,Moderate-term on-the-job training
Human resources specialists,13-1071,Bachelor's degree,None,None
Farm labor contractors,13-1074,No formal educational credential,Less than 5 years,Short-term on-the-job training
Labor relations specialists,13-1075,Bachelor's degree,Less than 5 years,None
Logisticians,13-1081,Bachelor's degree,None,None
Project management specialists,13-1082,Bachelor's degree,None,None
Management analysts,13-1111,Bachelor's degree,Less than 5 years,None
"Meeting, convention, and event planners",13-1121,Bachelor's degree,None,None
Fundraisers,13-1131,Bachelor's degree,None,None
"Compensation, benefits, and job analysis specialists",13-1141,Bachelor's degree,Less than 5 years,None
