style_simple,full_name,beer_name_full,abv,min_ibu,max_ibu,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews
Brown Ale,Alaskan Brewing Co. Alaskan Amber,Alaskan Brewing Co. Alaskan Amber,5.3,25,50,13,32,9,47,74,33,0,33,57,8,111,3.498994,3.636821,3.556338,3.643863,3.847082,497
Brown Ale,Long Trail Brewing Co. Double Bag,Long Trail Brewing Co. Double Bag,7.2,25,50,12,57,18,33,55,16,0,24,35,12,84,3.798337,3.846154,3.904366,4.024948,4.034304,481
Brown Ale,Long Trail Brewing Co. Long Trail Ale,Long Trail Brewing Co. Long Trail Ale,5,25,50,14,37,6,42,43,11,0,10,54,4,62,3.409814,3.667109,3.600796,3.6313,3.830239,377
Brown Ale,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Doppelsticke,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Doppelsticke,8.5,25,50,13,55,31,47,101,18,1,49,40,16,119,4.148098,4.033967,4.150815,4.205163,4.005435,368
Brown Ale,Ninkasi Brewing Company Sleigh'r Dark Doüble Alt Ale,Ninkasi Brewing Company Sleigh'r Dark Doüble Alt Ale,7.2,25,50,25,51,26,44,45,9,1,11,51,20,95,3.625,3.973958,3.734375,3.765625,3.817708,96
Brown Ale,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Sticke,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Sticke,6,25,50,22,45,13,46,62,25,1,34,60,4,103,4.007937,4.007937,4.087302,4.192063,4.230159,315
Brown Ale,Widmer Brothers Brewing Company Okto,Widmer Brothers Brewing Company Okto,5.3,25,50,28,40,3,40,58,29,0,36,54,8,97,3.322581,3.637097,3.366935,3.354839,3.475806,124
Brown Ale,Southampton Publick House Southampton Altbier,Southampton Publick House Southampton Altbier,5,25,50,18,49,5,37,73,22,0,21,37,4,98,3.496629,3.735955,3.588764,3.579775,3.738202,445
Brown Ale,The Olde Mecklenburg Brewery OMB Copper,The Olde Mecklenburg Brewery OMB Copper,4.8,25,50,25,35,4,38,39,13,1,8,60,16,97,3.847826,4.043478,4.119565,3.98913,4.184783,46
Brown Ale,Brauerei Pinkus Mueller Organic Münster Alt,Brauerei Pinkus Mueller Organic Münster Alt,5.1,25,50,35,31,5,35,50,55,5,52,66,8,77,3.534694,3.528571,3.608163,3.587755,3.767347,245
Brown Ale,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Altbier (Classic),Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Altbier (Classic),4.7,25,50,34,48,9,55,59,25,1,32,68,12,121,3.887701,4.061497,3.949198,4.053476,4.101604,187
Brown Ale,Yazoo Brewing Company Gerst Amber,Yazoo Brewing Company Gerst Amber,5.1,25,50,10,19,1,21,30,11,4,8,24,2,65,3.833333,4.333333,3.833333,4,4,3
Brown Ale,Free State Brewing Co. Ad Astra Ale,Free State Brewing Co. Ad Astra Ale,5.6,25,50,7,30,5,43,43,13,1,13,50,6,93,3.52381,3.904762,3.77381,3.690476,3.869048,42
Brown Ale,Fordham Brewing Company Fordham Copperhead Ale,Fordham Brewing Company Fordham Copperhead Ale,5.2,25,50,9,32,9,29,54,13,1,11,32,2,112,3.202381,3.541667,3.267857,3.303571,3.482143,84
Brown Ale,Victory Brewing Company Ten Years Alt,Victory Brewing Company Ten Years Alt,8.5,25,50,14,55,31,48,105,31,0,37,59,19,115,3.834661,4,3.982072,3.99004,3.886454,251
Brown Ale,Mother's Brewing Company Three Blind Mice,Mother's Brewing Company Three Blind Mice,5.5,25,50,11,58,6,47,49,5,1,3,50,5,110,3.5,3.785714,3.642857,3.642857,3.642857,7
Brown Ale,Rising Tide Brewing Company Ishmael,Rising Tide Brewing Company Ishmael,4.9,25,50,17,41,1,55,43,18,1,20,80,7,103,3.528571,3.914286,3.814286,3.914286,3.9,35
Brown Ale,Tuckerman Brewing Co. Headwall Alt,Tuckerman Brewing Co. Headwall Alt,4.5,25,50,19,42,13,54,62,19,0,25,64,10,135,3.574074,3.888889,3.709877,3.734568,3.820988,81
Brown Ale,Hops & Grain Alt-eration Ale,Hops & Grain Alt-eration Ale,5,25,50,21,43,3,54,54,7,0,10,60,9,111,5,4,4,4,4.5,1
Brown Ale,August Schell Brewing Company Barrel Aged Schmaltz's Alt,August Schell Brewing Company Barrel Aged Schmaltz's Alt,5.1,25,50,21,72,9,48,102,25,1,50,43,13,176,3.9125,3.9,3.7375,3.9375,4.075,40
Brown Ale,Privatbrauerei Frankenheim Frankenheim Alt,Privatbrauerei Frankenheim Frankenheim Alt,4.8,25,50,19,43,5,39,43,13,1,6,45,8,97,3.611111,3.948413,3.698413,3.72619,3.853175,126
Brown Ale,Metropolitan Brewing Iron Works Alt,Metropolitan Brewing Iron Works Alt,5.5,25,50,37,50,16,60,84,32,0,46,83,19,121,3.852941,3.970588,4.044118,4,4,34
Brown Ale,Brauerei Diebels GmbH & Co KG Diebels Premium Altbier,Brauerei Diebels GmbH & Co KG Diebels Premium Altbier,4.9,25,50,21,27,5,37,33,13,0,13,45,10,70,3.75,3.8125,3.625,3.625,3.875,8
Brown Ale,Mission Brewery Mission Amber,Mission Brewery Mission Amber,5,25,50,24,36,9,59,55,20,2,18,80,7,132,3.588235,3.735294,3.411765,3.588235,3.470588,17
Brown Ale,Hövels Hausbrauerei Hövels Original Bitterbier,Hövels Hausbrauerei Hövels Original Bitterbier,5.5,25,50,22,38,10,47,54,10,1,14,68,2,117,3.519231,3.788462,3.711538,3.615385,3.75,26
Brown Ale,Evolution Craft Brewing Company Secret Spot Winter Ale,Evolution Craft Brewing Company Secret Spot Winter Ale,6.3,25,50,14,53,16,69,67,29,0,23,87,18,103,3.625,3.625,4,4,4.125,4
Brown Ale,Cheboygan Brewing Company Lighthouse Amber,Cheboygan Brewing Company Lighthouse Amber,5.25,25,50,11,67,5,35,86,21,0,28,54,4,138,4,4,4,4,4,1
Brown Ale,Les Trois Mousquetaires Série Signature Sticke Alt,Les Trois Mousquetaires Série Signature Sticke Alt,6,25,50,17,57,14,96,106,23,0,42,122,11,130,3.916667,4.216667,3.983333,3.916667,3.866667,30
Brown Ale,Driftwood Brewery Crooked Coast Amber Ale,Driftwood Brewery Crooked Coast Amber Ale,5.1,25,50,20,36,7,76,47,39,2,40,100,8,76,3.972222,4.194444,3.833333,4.055556,4.083333,18
Brown Ale,Rahr & Sons Brewing Company Gravel Road,Rahr & Sons Brewing Company Gravel Road,7.25,25,50,5,48,6,54,66,11,0,16,52,9,109,3.522727,3.545455,3.795455,3.522727,3.636364,22
Brown Ale,Grimm Brothers Brewhouse Little Red Cap,Grimm Brothers Brewhouse Little Red Cap,5.2,25,50,27,39,18,47,52,28,4,24,59,6,100,3.833333,3.833333,3.833333,3.666667,4,3
Brown Ale,Beau's All Natural Brewing Company Festivale,Beau's All Natural Brewing Company Festivale,4.7,25,50,29,30,9,72,77,20,0,20,104,10,141,3.613636,3.886364,3.727273,3.636364,3.681818,22
Brown Ale,Buzzards Bay Brewing Moby D,Buzzards Bay Brewing Moby D,5,25,50,26,37,14,65,57,33,0,33,107,3,98,3.545455,4.136364,3.636364,3.681818,3.909091,11
Brown Ale,Rush River Brewing Company Über Alt,Rush River Brewing Company Über Alt,8.5,25,50,32,64,28,47,135,49,2,65,55,15,182,3.933333,3.866667,4.266667,4.266667,4.166667,15
Brown Ale,Brauerei Im Füchschen Im Füchschen Alt,Brauerei Im Füchschen Im Füchschen Alt,4.5,25,50,33,54,13,52,57,10,0,14,68,15,100,4.095238,4.238095,4.261905,4.214286,4.452381,21
Brown Ale,O'Fallon Brewery Sticke It To The Man,O'Fallon Brewery Sticke It To The Man,7.5,25,50,18,55,50,51,87,22,0,39,47,6,96,3.363636,3.621212,3.515152,3.333333,3.287879,33
Brown Ale,Blue Mountain Brewery Evan Altmighty,Blue Mountain Brewery Evan Altmighty,6.6,25,50,21,39,7,40,62,34,0,47,65,5,80,4,3.9,3.9,4,4.1,5
Brown Ale,COAST Brewing Company ALTerior Motive,COAST Brewing Company ALTerior Motive,6.3,25,50,27,61,11,56,61,46,0,40,77,14,110,4.1875,4.0625,4.25,4.25,4.46875,16
Brown Ale,Detroit Beer Co. Detroit Beer Co. The Detroit Dwarf,Detroit Beer Co. Detroit Beer Co. The Detroit Dwarf,6.8,25,50,19,57,13,42,68,25,0,29,54,12,70,3.655172,3.931034,3.810345,3.689655,3.827586,29
Strong Ale,Dogfish Head Brewery Olde School Barleywine,Dogfish Head Brewery Olde School Barleywine,15,60,100,20,55,82,56,170,30,0,107,43,13,62,3.902411,3.932262,3.901837,3.931688,3.704363,871
Strong Ale,Central Waters Brewing Company Bourbon Barrel Barleywine,Central Waters Brewing Company Bourbon Barrel Barleywine,14.3,60,100,11,65,94,40,142,25,0,63,23,27,133,4.369205,4.072848,4.193709,4.307947,4.09106,302
Strong Ale,Great Divide Brewing Company Old Ruffian Barley Wine,Great Divide Brewing Company Old Ruffian Barley Wine,10.2,60,100,6,55,31,107,97,27,1,57,120,14,119,4.238552,4.318956,4.231629,4.285942,4.071885,939
Strong Ale,Victory Brewing Company Old Horizontal,Victory Brewing Company Old Horizontal,11,60,100,9,49,45,78,83,36,1,52,97,12,117,4.051918,4.075772,4.084191,4.14406,3.963517,1069
Strong Ale,Three Floyds Brewing Co. & Brewpub Behemoth Blonde Barleywine,Three Floyds Brewing Co. & Brewpub Behemoth Blonde Barleywine,10.5,60,100,18,71,52,90,125,72,0,101,105,24,105,4.207373,4.123272,4.187788,4.264977,4.059908,434
Strong Ale,Lagunitas Brewing Company Olde GnarlyWine,Lagunitas Brewing Company Olde GnarlyWine,10.9,60,100,14,49,44,47,74,28,0,43,68,17,89,4.052373,4.143208,4.082651,4.12766,4.016367,611
Strong Ale,AleSmith Brewing Company AleSmith Old Numbskull,AleSmith Brewing Company AleSmith Old Numbskull,11,60,100,14,58,36,52,117,29,0,54,67,13,122,4.176471,4.082633,4.137255,4.221289,4.102241,357
Strong Ale,Tröegs Brewing Company Flying Mouflan,Tröegs Brewing Company Flying Mouflan,9.3,60,100,17,74,41,66,143,38,1,78,72,11,130,4.134783,4.133696,4.141304,4.23587,4.083696,460
Strong Ale,Rogue Ales XS Old Crustacean,Rogue Ales XS Old Crustacean,11.5,60,100,13,51,35,88,80,41,0,65,86,14,83,4.094595,4.024182,4.061166,4.064011,3.738265,703
Strong Ale,Hair of the Dog Brewing Company / Brewery and Tasting Room Doggie Claws,Hair of the Dog Brewing Company / Brewery and Tasting Room Doggie Claws,11.5,60,100,14,55,34,66,102,36,1,53,82,22,98,4.197168,3.980392,4.022876,4.253813,4.021786,459
Strong Ale,Firestone Walker Brewing Co. Helldorado,Firestone Walker Brewing Co. Helldorado,12.8,60,100,6,39,56,25,101,23,5,45,48,21,134,4.5,4,4,4.5,4.5,1
Strong Ale,Uinta Brewing Company Cockeyed Cooper,Uinta Brewing Company Cockeyed Cooper,11.1,60,100,12,62,66,38,52,20,0,32,42,22,103,3.943333,4.086667,3.843333,3.88,3.813333,150
Strong Ale,Brasserie Dieu Du Ciel Solstice D'hiver,Brasserie Dieu Du Ciel Solstice D'hiver,10.2,60,100,23,54,61,70,125,33,0,54,62,22,119,3.905172,3.912069,3.881034,3.927586,3.817241,290
Strong Ale,Uinta Brewing Company Anniversary Barley Wine,Uinta Brewing Company Anniversary Barley Wine,10.4,60,100,7,47,39,64,97,27,1,46,67,2,110,3.892606,3.924296,3.77993,3.818662,3.769366,284
Strong Ale,Green Flash Brewing Co. Barleywine Style Ale,Green Flash Brewing Co. Barleywine Style Ale,10.9,60,100,12,44,35,70,74,39,1,45,81,17,99,3.883954,4.101719,3.89255,3.84384,3.732092,349
Strong Ale,21st Amendment Brewery Lower Da Boom Barleywine,21st Amendment Brewery Lower Da Boom Barleywine,11.5,60,100,11,60,47,67,110,73,2,120,98,6,100,3.714286,3.785714,3.785714,3.428571,3.5,7
Strong Ale,Boulder Beer / Wilderness Pub Killer Penguin Barleywine,Boulder Beer / Wilderness Pub Killer Penguin Barleywine,10,60,100,8,34,33,29,70,28,0,41,35,4,67,3.616883,3.852814,3.595238,3.521645,3.573593,231
Strong Ale,Alpine Beer Company Great,Alpine Beer Company Great,14,60,100,8,47,36,14,81,14,0,35,10,10,76,4.470588,3.890756,4.205882,4.5,4.163866,119
Strong Ale,Boston Beer Company (Samuel Adams) Griffin's Bow,Boston Beer Company (Samuel Adams) Griffin's Bow,11.5,60,100,5,65,41,60,146,78,0,117,71,25,104,3.557471,3.833333,3.586207,3.442529,3.465517,87
Strong Ale,Real Ale Brewing Company Sisyphus,Real Ale Brewing Company Sisyphus,11.5,60,100,11,68,37,80,109,67,0,83,96,5,87,3.877622,3.914336,3.909091,3.903846,3.826923,286
Strong Ale,East End Brewing Company Gratitude,East End Brewing Company Gratitude,11.5,60,100,10,69,31,66,124,43,1,60,77,10,108,4.278646,4.161458,4.205729,4.369792,4.174479,192
Strong Ale,The Duck-Rabbit Craft Brewery Duck-Rabbit Barleywine Ale,The Duck-Rabbit Craft Brewery Duck-Rabbit Barleywine Ale,11,60,100,14,57,43,86,86,36,1,61,96,16,95,3.931973,4.044218,3.829932,3.809524,3.721088,294
Strong Ale,Rock Art Brewery Vermonster,Rock Art Brewery Vermonster,10,60,100,34,41,29,86,50,28,0,34,114,9,83,3.923267,3.975248,3.861386,3.910891,3.816832,202
Strong Ale,Smuttynose Brewing Company Smuttynose Barleywine Style Ale (Big Beer Series),Smuttynose Brewing Company Smuttynose Barleywine Style Ale (Big Beer Series),11.6,60,100,11,75,43,89,89,46,0,54,106,17,97,3.995327,3.96729,3.929907,4.004673,3.847352,321
Strong Ale,Mad River Brewing Company John Barleycorn Barleywine Ale,Mad River Brewing Company John Barleycorn Barleywine Ale,11.4,60,100,12,71,61,57,98,48,1,59,59,14,89,3.730892,3.756369,3.789809,3.714968,3.673567,314
Strong Ale,Three Floyds Brewing Co. & Brewpub Barrel Aged Behemoth,Three Floyds Brewing Co. & Brewpub Barrel Aged Behemoth,12.5,60,100,13,58,66,38,86,36,0,61,42,35,92,4.348485,4,4.333333,4.469697,4.287879,33
Strong Ale,Great Divide Brewing Company Barrel Aged Old Ruffian,Great Divide Brewing Company Barrel Aged Old Ruffian,12.7,60,100,18,67,94,43,134,34,0,57,53,32,132,4.160714,3.845238,3.952381,4.136905,3.97619,84
Strong Ale,Nøgne Ø - Det Kompromissløse Bryggeri A/S # 100,Nøgne Ø - Det Kompromissløse Bryggeri A/S # 100,10,60,100,18,70,43,85,92,26,1,53,95,15,113,4.013761,4.15367,4.084862,4.094037,3.961009,218
Strong Ale,AleSmith Brewing Company AleSmith Old Numbskull - Barrel Aged,AleSmith Brewing Company AleSmith Old Numbskull - Barrel Aged,11,60,100,9,57,67,26,113,20,0,36,23,25,132,4.34127,4.071429,4.301587,4.349206,4.198413,63
Strong Ale,DuClaw Brewing Company Devil's Milk,DuClaw Brewing Company Devil's Milk,10,60,100,15,73,45,78,125,80,2,122,117,9,103,3.844156,3.948052,3.896104,3.896104,3.785714,77
Strong Ale,Mikkeller ApS Big Worse,Mikkeller ApS Big Worse,12,60,100,14,50,58,67,137,71,0,110,79,12,114,3.894737,3.62201,3.688995,3.825359,3.600478,209
Strong Ale,Santa Fe Brewing Company Chicken Killer Barley Wine,Santa Fe Brewing Company Chicken Killer Barley Wine,10,60,100,13,41,40,61,85,38,0,47,61,4,104,3.566667,3.925926,3.7,3.607407,3.544444,135
Strong Ale,Big Sky Brewing Company Olde Bluehair - Barrel Aged,Big Sky Brewing Company Olde Bluehair - Barrel Aged,12,60,100,10,53,63,53,71,22,1,32,56,23,114,3.979452,3.986301,3.876712,4.068493,3.917808,73
Strong Ale,Moylan's Brewery Old Blarney Barleywine,Moylan's Brewery Old Blarney Barleywine,10,60,100,14,66,38,61,107,39,0,64,69,6,119,3.884783,4.026087,3.936957,3.884783,3.821739,230
Strong Ale,"Middle Ages Brewing Co., Ltd. Druid Fluid","Middle Ages Brewing Co., Ltd. Druid Fluid",9.5,60,100,25,55,39,90,116,56,3,88,105,4,102,3.945607,4.012552,3.958159,3.943515,3.834728,239
Strong Ale,Berkshire Brewing Company Inc. Holidale,Berkshire Brewing Company Inc. Holidale,9.5,60,100,15,72,50,79,103,42,0,53,69,27,107,3.831325,3.987952,3.906627,3.990964,3.891566,166
Strong Ale,Blue Point Brewing Company Blue Point Old Howling Bastard,Blue Point Brewing Company Blue Point Old Howling Bastard,10,60,100,9,59,37,45,100,34,0,44,60,11,115,3.826733,3.955446,3.841584,3.80198,3.717822,101
Strong Ale,Free State Brewing Co. Old Backus Barleywine,Free State Brewing Co. Old Backus Barleywine,10.5,60,100,7,62,45,56,127,39,1,49,62,4,108,4.446429,4.116071,4.410714,4.491071,4.375,56
Strong Ale,Firestone Walker Brewing Co. §ucaba (Abacus),Firestone Walker Brewing Co. §ucaba (Abacus),12.5,40,60,5,51,74,24,105,23,0,50,19,18,112,4.376302,4.057292,4.292969,4.505208,4.375,384
Strong Ale,Weyerbacher Brewing Co. Insanity,Weyerbacher Brewing Co. Insanity,13.3,40,60,7,56,55,19,103,27,0,68,19,27,88,4.17916,4.03973,4.104948,4.238381,3.976012,667
Strong Ale,Weyerbacher Brewing Co. Blithering Idiot,Weyerbacher Brewing Co. Blithering Idiot,11.1,40,60,2,44,47,29,138,26,0,62,31,15,97,3.71981,3.777476,3.774084,3.74152,3.607191,737
Strong Ale,Pelican Pub & Brewery Mother Of All Storms,Pelican Pub & Brewery Mother Of All Storms,14,40,60,10,66,86,37,156,34,1,77,12,27,168,4.519305,4.206564,4.397683,4.523166,4.281853,259
Strong Ale,Anchor Brewing Company Anchor Old Foghorn,Anchor Brewing Company Anchor Old Foghorn,10,40,60,10,62,37,56,116,36,0,82,64,15,110,3.935225,3.882762,3.862955,3.96788,3.853854,934
Strong Ale,Firestone Walker Brewing Co. Double Double Barrel Ale,Firestone Walker Brewing Co. Double Double Barrel Ale,12,40,60,10,45,49,16,67,13,0,35,9,32,101,3.911765,4.117647,4.058824,4.264706,4.117647,17
Strong Ale,Deschutes Brewery Mirror Mirror,Deschutes Brewery Mirror Mirror,11,40,60,18,56,19,32,119,28,0,77,29,18,104,4.122807,4.117794,4.154135,4.246867,4.096491,399
Strong Ale,Midnight Sun Brewing Co. Arctic Devil Barley Wine,Midnight Sun Brewing Co. Arctic Devil Barley Wine,13.2,40,60,10,72,69,28,123,23,0,49,23,24,141,4.38756,4.119617,4.334928,4.437799,4.19378,209
Strong Ale,Flying Dog Brewery Horn Dog Barley Wine Style Ale,Flying Dog Brewery Horn Dog Barley Wine Style Ale,10.2,40,60,8,43,50,22,100,25,0,63,21,9,65,3.839923,3.845026,3.870536,3.885204,3.71301,784
Strong Ale,Kuhnhenn Brewing Company Kuhnhenn Bourbon Barrel Barley Wine,Kuhnhenn Brewing Company Kuhnhenn Bourbon Barrel Barley Wine,14.5,40,60,7,47,94,24,99,14,1,44,8,25,123,4.419492,3.936441,4.169492,4.34322,4.152542,118
