"Table 1.12 Factors affecting occupational utilization, projected 2021-31",,,,
2020 National Employment Matrix occupation title,2021 National Empoyment Matrix occupation code,2021 National Employment Matrix industry title,2021 National Empoyment Matrix industry code,Factors affecting occupational utilization
Chief executives,11-1011,Total employment,TE1000,Productivity change - share decreases as changing organizational structures allow fewer chief executives to manage the day-to-day operations of an organization.
Advertising and promotions managers,11-2011,Automobile dealers,441100,Productivity change - share decreases as consolidation of back office jobs allows same amount of output to be produced by fewer advertising and promotions managers.
Marketing managers,11-2021,Automobile dealers,441100,Productivity change - share decreases as consolidation of back office functions allow the same amount of output to be produced by fewer marketing managers.
Marketing managers,11-2021,Sound recording industries,512200,Demand change - share increases as an expected increase in marketing activities in the sound recording industries should increase demand for marketing managers.
Sales managers,11-2022,Automobile dealers,441100,"Demand change - share decreases as growth in online sales will reduce the need for sales staff, including sales managers, on car showroom floors."
Computer and information systems managers,11-3021,Total employment,TE1000,"Demand change - share increases as organizations increasingly rely on IT services, supporting an increased demand for computer and information systems managers to plan and oversee computer hardware and software needs."
Financial managers,11-3031,Total employment,TE1000,"Demand change - share increases as several economic trends, including a greater emphasis on risk management and increases in corporate cash holdings, will increase demand for financial managers."
Financial managers,11-3031,"Securities, commodity contracts, and other financial investments and related activities",523000,"Demand change - share increases as several economic trends, including a greater emphasis on risk management and increases in demand for managing investments funds, will increase demand for financial managers."
"Transportation, storage, and distribution managers",11-3071,"Merchant wholesalers, durable goods (4232,3,5,6,7,9)",4230A1,Demand change - share increases as supply chain management grows more complex resulting in the need for enhanced integration of logistics with business systems and processes.
"Transportation, storage, and distribution managers",11-3071,"Merchant wholesalers, nondurable goods (4244,8)",4240A1,Demand change - share increases as supply chain management grows more complex resulting in the need for enhanced integration of logistics with business systems and processes.
"Transportation, storage, and distribution managers",11-3071,Truck transportation,484000,Demand change - share increases as supply chain management grows more complex resulting in the need for enhanced integration of logistics with business systems and processes.
"Transportation, storage, and distribution managers",11-3071,Freight transportation arrangement,488500,Demand change - share increases as supply chain management grows more complex resulting in the need for enhanced integration of logistics with business systems and processes.
"Transportation, storage, and distribution managers",11-3071,Couriers and express delivery services,492100,"Demand change - share decreases as mergers reduce the number of transportation, storage, and distribution managers."
"Transportation, storage, and distribution managers",11-3071,Warehousing and storage,493000,Demand change - share increases as supply chain management grows more complex resulting in the need for enhanced integration of logistics with business systems and processes.
"Transportation, storage, and distribution managers",11-3071,Management of companies and enterprises,551000,Demand change - share increases as supply chain management grows more complex resulting in the need for enhanced integration of logistics with business systems and processes.
Compensation and benefits managers,11-3111,Total employment,TE1000,"Sourcing change, capital/labor substitution - share decreases as compensation and benefits activities continue to be outsourced or automated through specialized software."
Compensation and benefits managers,11-3111,"Accounting, tax preparation, bookkeeping, and payroll services",541200,Sourcing change - share increases as employers outsource compensation research and analysis to companies that specialize in those services.
Construction managers,11-9021,Total employment,TE1000,"Demand change - share increases as technical and process improvements increase the need for construction managers to track costs, materials, and schedules."
Construction managers,11-9021,Other heavy and civil engineering construction,237900,"Demand change - share increases as technical and process improvements increase the need for construction managers to track costs, materials, and schedules."
Food service managers,11-9051,Motion picture and video exhibition,512130,Demand change - share increases as movie theaters continue to expand food and beverage offerings and the number of luxury or boutique movie theaters continues to increase.
Medical and health services managers,11-9111,Total employment,TE1000,Demand change - share increases as healthcare providers utilize broader team structures which will require increased use of specialized management.
Medical and health services managers,11-9111,General medical and surgical hospitals; state,622102,Demand change - share increases as healthcare providers utilize broader team structures which will require increased use of specialized management.
Medical and health services managers,11-9111,General medical and surgical hospitals; local,622103,Demand change - share increases as healthcare providers utilize broader team structures which will require increased use of specialized management.
Medical and health services managers,11-9111,Psychiatric and substance abuse hospitals; local,622203,Demand change - share increases as healthcare providers utilize broader team structures which will require increased use of specialized management.
Medical and health services managers,11-9111,Specialty (except psychiatric and substance abuse) hospitals; state,622302,Demand change - share increases as healthcare providers utilize broader team structures which will require increased use of specialized management.
Medical and health services managers,11-9111,Nursing care facilities (skilled nursing facilities),623100,Demand change - share increases as healthcare providers utilize broader team structures which will require increased use of specialized management.
Medical and health services managers,11-9111,Residential intellectual and developmental disability facilities,623210,Demand change - share increases as healthcare providers utilize broader team structures which will require increased use of specialized management.
Medical and health services managers,11-9111,Residential mental health and substance abuse facilities,623220,Demand change - share increases as healthcare providers utilize broader team structures which will require increased use of specialized management.
Medical and health services managers,11-9111,Continuing care retirement communities and assisted living facilities for the elderly,623300,Demand change - share increases as healthcare providers utilize broader team structures which will require increased use of specialized management.
Buyers and purchasing agents,13-1020,Total employment,TE1000,"Capital/labor substitution - share decreases as new technology allows organizations to automate tactical, routine procurement tasks once done by these workers."
Buyers and purchasing agents,13-1020,"State government, excluding education and hospitals",999200,"Capital/labor substitution, productivity change - share decreases as new technology allows organizations to automate tactical, routine procurement tasks once done by these workers. In addition, the increasing use of cooperative purchasing agreements in the public sector will allow localities to use fewer resources and staff to complete routine procurement functions."
Buyers and purchasing agents,13-1020,"Local government, excluding education and hospitals",999300,"Capital/labor substitution, productivity change - share decreases as new technology allows organizations to automate tactical, routine procurement tasks once done by these workers. In addition, the increasing use of cooperative purchasing agreements in the public sector will allow localities to use fewer resources and staff to complete routine procurement functions."
"Claims adjusters, examiners, and investigators",13-1031,Total employment,TE1000,"Productivity change - share decreases as computer software will automate much of this work, reducing the needed number of adjusters."
"Insurance appraisers, auto damage",13-1032,Total employment,TE1000,"Productivity change, capital/labor substitution - share decreases as appraisal activities continue to be automated through specialized software."
Cost estimators,13-1051,Total employment,TE1000,Productivity change - share decreases as cost estimation software has made this work more efficient.
Human resources specialists,13-1071,Total employment,TE1000,Sourcing change - share decreases as companies increasingly contract out human resources services to human resources services specialist firms and rely on software for more perfunctory HR activities.
Human resources specialists,13-1071,"Accounting, tax preparation, bookkeeping, and payroll services",541200,Sourcing change - share increases as companies increasingly contract HR services from these firms.
