"Table 1.3 Fastest growing occupations, 2021 and projected 2031 (Numbers in thousands)",,,,,,
2021 National Employment Matrix title,2021 National Employment Matrix code,"Employment, 2021","Employment, 2031","Employment change, 2021-31","Percent employment change, 2021-31","Median annual wage, 2021(1)"
"Total, all occupations",00-0000,"158,134.7","166,452.1","8,317.4",5.3,"$45,760"
Nurse practitioners,29-1171,246.7,359.4,112.7,45.7,"$120,680"
Wind turbine service technicians,49-9081,11.1,16.1,4.9,44.3,"$56,260"
"Ushers, lobby attendants, and ticket takers",39-3031,63.2,88.8,25.6,40.5,"$24,440"
Motion picture projectionists,39-3021,2.0,2.8,0.8,40.3,"$29,350"
"Cooks, restaurant",35-2014,"1,255.6","1,715.6",459.9,36.6,"$30,010"
Data scientists,15-2051,113.3,153.9,40.5,35.8,"$100,910"
Athletes and sports competitors,27-2021,15.8,21.5,5.7,35.7,"$77,300"
Information security analysts,15-1212,163.0,219.5,56.5,34.7,"$102,600"
Statisticians,15-2041,34.2,45.3,11.2,32.7,"$95,570"
"Umpires, referees, and other sports officials",27-2023,13.2,17.4,4.2,31.7,"$35,860"
Web developers,15-1254,95.3,124.1,28.9,30.3,"$77,030"
Animal caretakers,39-2021,290.7,377.6,86.9,29.9,"$28,600"
Choreographers,27-2032,6.3,8.1,1.9,29.7,"$42,700"
Taxi drivers,53-3054,128.5,165.1,36.6,28.5,"$29,310"
Medical and health services managers,11-9111,480.7,616.9,136.2,28.3,"$101,340"
Logisticians,13-1081,195.0,249.1,54.1,27.7,"$77,030"
Physician assistants,29-1071,139.1,177.5,38.4,27.6,"$121,530"
Solar photovoltaic installers,47-2231,17.1,21.7,4.6,27.2,"$47,670"
Animal trainers,39-2011,52.9,67.2,14.3,27.1,"$31,280"
Physical therapist assistants,31-2021,96.5,122.1,25.6,26.5,"$61,180"
Software developers,15-1252,"1,425.9","1,796.5",370.6,26.0,"$120,730"
Epidemiologists,19-1041,8.6,10.9,2.2,25.8,"$78,830"
Occupational therapy assistants,31-2011,43.4,54.5,11.0,25.4,"$61,730"
Home health and personal care aides,31-1120,"3,636.9","4,560.9",924.0,25.4,"$29,430"
"Personal care and service workers, all other",39-9099,104.4,130.4,26.0,24.9,"$29,610"
Dancers,27-2031,6.2,7.7,1.5,24.5,
"Health specialties teachers, postsecondary",25-1071,246.7,306.1,59.4,24.1,"$102,720"
"Entertainment attendants and related workers, all other",39-3099,4.7,5.8,1.1,23.2,"$24,170"
Operations research analysts,15-2031,104.2,128.3,24.2,23.2,"$82,360"
"Roustabouts, oil and gas",47-5071,37.3,45.9,8.6,23.0,"$38,920"
Footnotes:,,,,,,
"(1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers.",,,,,,
"Note: Data is unavailable for values denoted with a ""—"".",,,,,,
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",,,,,,
