"Table 1.7 Occupational projections, 2021-31, and worker characteristics, 2021 (Numbers in thousands)",,,,,,,,,,,,
2021 National Employment Matrix title,2021 National Employment Matrix code,Occupation type,"Employment, 2021","Employment, 2031","Employment change, 2021-31","Percent employment change, 2021-31","Percent self employed, 2021","Occupational openings, 2021-31 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Total, all occupations",00-0000,Summary,"158,134.7","166,452.1","8,317.4",5.3,6.3,"19,532.5","$45,760",—,—,—
Management occupations,11-0000,Summary,"11,685.3","12,569.2",883.9,7.6,17.6,"1,101.8","$102,450",—,—,—
Top executives,11-1000,Summary,"3,447.8","3,638.6",190.7,5.5,2.2,321.9,"$98,720",—,—,—
Chief executives,11-1011,Line item,283.9,263.3,-20.6,-7.3,22.8,17.7,"$179,520",Bachelor's degree,5 years or more,None
General and operations managers,11-1021,Line item,"3,118.4","3,328.2",209.8,6.7,0.4,300.4,"$97,970",Bachelor's degree,5 years or more,None
Legislators,11-1031,Line item,45.5,47.0,1.5,3.3,—,3.8,"$37,270",Bachelor's degree,Less than 5 years,None
"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Summary,914.9,980.4,65.5,7.2,4.1,86.3,"$128,160",—,—,—
Advertising and promotions managers,11-2011,Line item,28.0,30.0,2.0,7.1,16.4,3.0,"$127,150",Bachelor's degree,Less than 5 years,None
Marketing and sales managers,11-2020,Summary,788.8,844.3,55.4,7.0,4.1,74.1,"$129,330",—,—,—
Marketing managers,11-2021,Line item,319.0,350.7,31.7,9.9,8.7,32.2,"$135,030",Bachelor's degree,5 years or more,None
Sales managers,11-2022,Line item,469.8,493.6,23.8,5.1,0.9,41.9,"$127,490",Bachelor's degree,Less than 5 years,None
Public relations and fundraising managers,11-2030,Summary,98.1,106.2,8.1,8.3,1.3,9.1,"$119,860",—,—,—
Public relations managers,11-2032,Line item,66.7,71.7,5.0,7.6,1.4,6.1,"$125,780",Bachelor's degree,5 years or more,None
Fundraising managers,11-2033,Line item,31.4,34.5,3.0,9.7,1.2,3.0,"$100,810",Bachelor's degree,5 years or more,None
Operations specialties managers,11-3000,Summary,"2,243.3","2,510.8",267.5,11.9,1.6,208.9,"$127,140",—,—,—
Administrative services and facilities managers,11-3010,Summary,348.1,371.7,23.6,6.8,0.0,31.9,"$99,290",—,—,—
Administrative services managers,11-3012,Line item,239.0,255.1,16.1,6.7,0.0,22.0,"$100,170",Bachelor's degree,Less than 5 years,None
Facilities managers,11-3013,Line item,109.1,116.6,7.6,6.9,—,9.9,"$97,930",Bachelor's degree,Less than 5 years,None
Computer and information systems managers,11-3021,Line item,509.1,591.5,82.4,16.2,0.9,48.5,"$159,010",Bachelor's degree,5 years or more,None
Financial managers,11-3031,Line item,730.8,854.0,123.1,16.8,2.6,71.3,"$131,710",Bachelor's degree,5 years or more,None
Industrial production managers,11-3051,Line item,203.8,210.9,7.1,3.5,3.5,15.4,"$103,150",Bachelor's degree,5 years or more,None
Purchasing managers,11-3061,Line item,72.8,75.6,2.8,3.8,1.2,6.3,"$127,150",Bachelor's degree,5 years or more,None
"Transportation, storage, and distribution managers",11-3071,Line item,150.7,163.4,12.7,8.4,3.1,14.2,"$98,230",High school diploma or equivalent,5 years or more,None
Compensation and benefits managers,11-3111,Line item,15.7,15.9,0.2,1.5,—,1.2,"$127,530",Bachelor's degree,5 years or more,None
Human resources managers,11-3121,Line item,174.2,186.9,12.6,7.3,0.1,16.3,"$126,230",Bachelor's degree,5 years or more,None
Training and development managers,11-3131,Line item,38.1,40.9,2.9,7.5,0.8,3.7,"$120,130",Bachelor's degree,5 years or more,None
Other management occupations,11-9000,Summary,"5,079.3","5,439.5",360.2,7.1,37.6,484.8,"$97,630",—,—,—
"Farmers, ranchers, and other agricultural managers",11-9013,Line item,847.6,824.0,-23.6,-2.8,68.3,85.6,"$73,060",High school diploma or equivalent,5 years or more,None
Construction managers,11-9021,Line item,478.5,514.9,36.4,7.6,39.8,41.5,"$98,890",Bachelor's degree,None,Moderate-term on-the-job training
Education and childcare administrators,11-9030,Summary,637.7,679.6,41.9,6.6,3.5,52.9,"$95,010",—,—,—
"Education and childcare administrators, preschool and daycare",11-9031,Line item,74.6,80.8,6.2,8.3,8.1,6.4,"$47,310",Bachelor's degree,Less than 5 years,None
"Education administrators, kindergarten through secondary",11-9032,Line item,292.2,306.5,14.2,4.9,1.8,23.5,"$98,420",Master's degree,5 years or more,None
"Education administrators, postsecondary",11-9033,Line item,210.1,225.6,15.5,7.4,3.6,17.6,"$96,910",Master's degree,Less than 5 years,None
"Education administrators, all other",11-9039,Line item,60.8,66.8,6.0,9.9,5.7,5.3,"$90,560",Bachelor's degree,Less than 5 years,None
Architectural and engineering managers,11-9041,Line item,191.1,195.5,4.4,2.3,—,14.0,"$152,350",Bachelor's degree,5 years or more,None
Food service managers,11-9051,Line item,329.1,361.4,32.3,9.8,33.1,45.0,"$59,440",High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
Entertainment and recreation managers,11-9070,Summary,25.7,29.9,4.1,16.0,10.0,3.5,"$63,270",—,—,—
Gambling managers,11-9071,Line item,4.1,4.7,0.5,13.0,8.6,0.5,"$76,910",High school diploma or equivalent,Less than 5 years,None
"Entertainment and recreation managers, except gambling",11-9072,Line item,21.6,25.2,3.6,16.5,10.3,3.0,"$62,000",Bachelor's degree,Less than 5 years,None
